,question,ground_truth,question_complexity,llm_only_response,llm_rag_response,hybrid_llm_rag_response,Relevancy_l,Accuracy_l,Completeness_l,Clarity_l,Conciseness_l,Relevancy_lr,Accuracy_lr,Completeness_lr,Clarity_lr,Conciseness_lr,Relevancy_hlr,Accuracy_hlr,Completeness_hlr,Clarity_hlr,Conciseness_hlr,rouge_l,rouge_lr,rouge_hlr
10,What are the course options for the BA in Linguistics and English program?,"The course options for the BA in Linguistics and English program include: 
- ENGL 2455 American Women Writers 
- ENGL 2760 Writing in Global Contexts 
- ENGL 3678 Bedrooms and Battlefields: Hebrew Bible and the Origins of Sex, Gender, and Ethnicity 
- ENGL 3685 Modern and Contemporary Jewish Literature 
- JWSS 3685 Modern and Contemporary Jewish Literature 
- Pre-Nineteenth-Century Literature",multi-context,"The course options for a BA in Linguistics and English program may vary depending on the specific university or college offering the program. However, some common course options that students may encounter in this program include:

1. Introduction to Linguistics
2. Introduction to English Language and Literature
3. Phonetics and Phonology
4. Syntax and Semantics
5. Sociolinguistics
6. Psycholinguistics
7. Language Acquisition
8. History of the English Language
9. World Englishes
10. Discourse Analysis
11. Language and Gender
12. Language and Power
13. Stylistics
14. Literary Theory
15. Creative Writing

These are just a few examples of the course options that may be available in a BA in Linguistics and English program. Students should consult with their academic advisor or program coordinator to learn more about the specific course offerings at their institution.","The course options for the BA in Linguistics and English program are as follows:

1. Linguistics Requirements:
   - LING 1150 Introduction to Language and Linguistics (4 hours)
   - LING 2350 Linguistic Analysis (4 hours)
   - LING 3412 Language and Culture (4 hours)
   - LING 3442 Sociolinguistics (4 hours)
   - Linguistic Structure: Complete three of the following (12 hours):
     - LING 3420 Phonetics
     - LING 3422 Phonology
     - LING 3424 Morphology
     - LING 3450 Syntax
     - LING 3452 Semantics
   - Linguistics Electives: Complete two courses not used to fulfill other major requirements (8 hours):
     - LING 3000 to LING 4999
     - DEAF 2700 ASL Linguistics

2. English Requirements:
   - Foundational Courses:
     - ENGL 1160 Introduction to Rhetoric or ENGL 1410 Introduction to Research on Writing (4 hours)
     - ENGL 1400 Introduction to Literary Studies (4 hours)
   - Diversity: Complete one of the following (4 hours):
     - ENGL 2150 Literature and Digital Diversity
     - ENGL 2296 Early African-American Literature

These are the required courses for the BA in Linguistics and English program at Northeastern University.","The course options for the BA in Linguistics and English program include the following:

1. Foundational Courses:
- ENGL 1160 Introduction to Rhetoric or ENGL 1410 Introduction to Research on Writing
- ENGL 1400 Introduction to Literary Studies

2. Diversity:
- Complete one of the following:
  - ENGL 2150 Literature and Digital Diversity
  - ENGL 2296 Early African-American Literature

3. Writing:
- Complete one of the following:
  - ENGL 2700 Creative Writing
  - ENGL 2710 Style and Editing
  - ENGL 2740 Writing and Community Engagement
  - ENGL 2760 Writing in Global Contexts
  - ENGL 2770 Writing to Heal
  - ENGL 2780 Visual Writing
  - ENGL 2850 Writing for Social Media: Theory and Practice
  - ENGL 3375 Writing Boston
  - ENGL 3376 Creative Nonfiction
  - ENGL 3377 Poetry Workshop
  - ENGL 3378 Fiction Workshop
  - ENGL 3380 Writing Seminar
  - ENGL 3384 The Writer’s Marketplace

4. Electives:
- Complete one additional ENGL elective at the 2000 level or higher.",6,3,5,7.5,4,5,5,6,7,6,6,6.5,8,7.5,5,0.173179036,0.177237579,0.245494074
11,What is medical leave of absence?,"Medical leave of absence is an option available to Northeastern students who develop a major medical condition that prevents them from attending classes, completing requirements, and participating in co-op. It is a formal request that needs to be initiated at UHCS (University Health and Counseling Services).",simple,"A medical leave of absence is a period of time that an employee takes off from work due to a medical condition or illness. This leave is typically granted by an employer and may be covered under the Family and Medical Leave Act (FMLA) in the United States. During a medical leave of absence, the employee is usually not required to work and may be eligible for certain benefits such as continued health insurance coverage. The length of the leave and the specific requirements for taking medical leave may vary depending on the employer and local laws.","A medical leave of absence is time away from work to recover or recuperate from a serious health condition. It can be continuous if you are unable to work for more than five consecutive calendar days due to your condition, or intermittent if you need to take time off sporadically due to your condition. To qualify for a medical leave, the condition must meet specific criteria such as an overnight stay in a medical facility, multiple treatments by a healthcare provider within 30 days, or a treatment plan following a healthcare provider visit.","A medical leave of absence is time away from work to recover or recuperate from a serious health condition. It can be continuous if you are unable to work for more than five consecutive calendar days due to your condition, or intermittent if you need to take time off sporadically. To apply for a continuous leave, notify your manager, open a request in the HR Service Center, and have your healthcare provider complete a Certification of Serious Health Condition form. Benefit-eligible employees can take up to 26 weeks of job-protected leave, with a 1-week waiting period before paid leave benefits begin. Pay and job protection run together during the leave, and benefits like health and dental insurance continue as long as you receive pay from Northeastern. To return to work, provide a clearance note from your healthcare provider.",5,6,5.5,7,6,6,5,6,7.5,8,5,6,5.5,7,4,0.20409494,0.162249827,0.149164951
12,"What is the minimum GPA required in all CS, CY, DS, and IS courses?","The minimum GPA required in all CS, CY, DS, and IS courses is 2.000.",reasoning,"The minimum GPA required in all CS, CY, DS, and IS courses is typically a 2.0 or higher. However, this may vary depending on the specific program or institution. It is important to check with your academic advisor or program requirements for the most accurate information.","The minimum GPA required in all CS, CY, DS, and IS courses is 3.000 or higher.","The minimum GPA required in all CS, CY, DS, and IS courses at Northeastern University is 2.000.",8,6,6,8.5,5,10,2,5,9,10,10,10,10,10,10,0.434408602,0.85,0.885630499
13,"What courses are required for the Criminal Justice and Journalism, BS Plan of Study?","The required courses for the Criminal Justice and Journalism, BS Plan of Study are CRIM 1000 or JRNL 1000, JRNL 1101 and JRNL 1102, CRIM 1100, and ENGW 1111.",multi-context,"The required courses for the Criminal Justice and Journalism, BS Plan of Study may vary depending on the specific program and university. However, some common courses that may be included in this plan of study are:

- Introduction to Criminal Justice
- Media and Society
- Reporting and Writing for Journalism
- Criminal Law
- Investigative Reporting
- Criminology
- Ethics in Journalism
- Criminal Procedure
- Multimedia Journalism
- Research Methods in Criminal Justice
- Digital Journalism
- Corrections
- Broadcast Journalism
- Policing
- Photojournalism
- Criminal Justice Policy

It is important to consult with an academic advisor or the specific program's curriculum to determine the exact courses required for the Criminal Justice and Journalism, BS Plan of Study.","The required courses for the Criminal Justice and Journalism, BS Plan of Study are as follows:

1. Introduction to Criminal Justice
   - CRIM 1100 Introduction to Criminal Justice (4 hours)
   - CRIM 1110 Criminal Due Process (4 hours)
   - CRIM 1120 Criminology (4 hours)

2. Current Crime and Justice Issues
   - Complete one of the following: CRIM 1300 The Death Penalty, CRIM 1400 Human Trafficking, CRIM 1500 Corruption, Integrity, and Accountability (4 hours)

3. Crime Problems and Criminal Justice Institutions
   - Complete one of the following: CRIM 2310 Courts: The Third Branch of Government, CRIM 2320 Youth Crime and Justice, CRIM 2330 Punishment in the Age of Mass Incarceration, CRIM 2340 Corporate Security: Securing the Private Sector, CRIM 2350 Policing a Democratic Society, CRIM 2370 Restorative Justice: Transforming the System, CRIM 3010 Criminal Violence, CRIM 3030 Global Criminology, CRIM 3040 Psychology of Crime, CRIM 3060 Political Crime and Terrorism, CRIM 3070 Corporate and White-Collar Crime (4 hours)

4. Systemic Issues
   - Complete one of the following: CRIM 3110 Gender, Crime, and Justice, CRIM 3120 Race, Crime, and Justice (4 hours)

5. Criminal Justice Research Methods
   - CRIM 3600 Criminal Justice Research Methods (4 hours)

6. Analyzing and Using Data on Crime and Justice
   - CRIM 3700 Analyzing and Using Data on Crime and Justice (4 hours)

7. Senior Capstone Seminar
   - CRIM 4949 Senior Capstone Seminar (4 hours)

8. Criminal Justice Elective
   - Complete one additional criminal justice elective from the 3000, 4000, or 5000 level (4 hours)","The courses required for the Criminal Justice and Journalism, BS Plan of Study are as follows:

Criminal Justice Requirements:
- CRIM 1100 Introduction to Criminal Justice (4 hours)
- CRIM 1110 Criminal Due Process (4 hours)
- CRIM 1120 Criminology (4 hours)
- Complete one of the following Current Crime and Justice Issues courses (4 hours):
  - CRIM 1300 The Death Penalty
  - CRIM 1400 Human Trafficking
  - CRIM 1500 Corruption, Integrity, and Accountability
- Complete one of the following Crime Problems and Criminal Justice Institutions courses (4 hours):
  - CRIM 2310 Courts: The Third Branch of Government
  - CRIM 2320 Youth Crime and Justice
  - CRIM 2330 Punishment in the Age of Mass Incarceration
  - CRIM 2340 Corporate Security: Securing the Private Sector
  - CRIM 2350 Policing a Democratic Society
  - CRIM 2370 Restorative Justice: Transforming the System
  - CRIM 3010 Criminal Violence
  - CRIM 3030 Global Criminology
  - CRIM 3040 Psychology of Crime
  - CRIM 3060 Political Crime and Terrorism
  - CRIM 3070 Corporate and White-Collar Crime
- Complete one of the following Systemic Issues courses (4 hours):
  - CRIM 3110 Gender, Crime, and Justice
  - CRIM 3120 Race, Crime, and Justice

Journalism Requirements:
- JRNL 1150 Understanding Today’s News (4 hours)
- JRNL 1101 and JRNL 1102 Journalism 1: Fundamentals of Reporting and Writing and Journalist’s Toolbox (5 hours)
- JRNL 2201 Journalism 2: Intermediate Reporting (4 hours)
- JRNL 2301 Visual Storytelling in Journalism (4 hours)
- JRNL 3610 Digital Storytelling and Social Media (4 hours)
- JRNL 4650 Ethics and Issues in Journalism (4 hours)
- Complete three additional journalism courses (12 hours)

Supporting Courses:
- CRIM 1000 Criminal Justice at Northeastern or JRNL 1000 Journalism at Northeastern (1 hour)
- Complete one of the following Computer or Data Science courses (4 hours):
  - CS 1100 Computer Science and Its Applications
  - DS 2000 and DS 2001 Programming with Data and Data Science Programming Practicum
  - JRNL 3700 Data Storytelling

Co-op Integration Requirements:
- EESH 2000 Professional Development for Co-op or EEAM 2000 Professional Development for Co-op
- CRIM 3000 Co-op Integration Seminar (2 hours)

Integrative Requirements:
- JRNL 3550 The First Amendment and the Media (4 hours)
- CRIM 1700 Crime, Media, and Politics (4 hours)

Total Program Requirement: 129 total semester hours required",4,3,5,6,4,3.5,3,3,6.5,4,4,2,5,6,3,0.22812587,0.129615082,0.120098315
14,What is the focus area for the course HIST 1500?,The focus area for the course HIST 1500 is Modern Chinese History and Culture.,reasoning,"The focus area for the course HIST 1500 is typically introductory or survey-level history, covering a broad range of historical topics and themes. This course may cover various time periods, regions, and themes in history, providing students with a foundational understanding of key historical events and developments.",The course HIST 1500 focuses on Modern Chinese History and Culture.,The focus area for the course HIST 1500 is Modern Chinese History and Culture.,3,2,5,7,6,10,10,10,10,10,10,10,10,10,10,0.325448029,0.682898551,1
15,What departments are involved in the interdisciplinary study of the behavioral neuroscience and design combined major?,"The interdisciplinary study of the behavioral neuroscience and design combined major involves the biology, psychology, and Art + Design departments.",multi-context,"The departments involved in the interdisciplinary study of the behavioral neuroscience and design combined major may include:

1. Neuroscience
2. Psychology
3. Biology
4. Cognitive Science
5. Design
6. Architecture
7. Computer Science

These departments may collaborate to offer courses and research opportunities that integrate principles from both behavioral neuroscience and design. Students in this combined major may have the opportunity to explore the intersection of these disciplines and gain a comprehensive understanding of how they can be applied together in various fields such as healthcare, technology, and education.","The interdisciplinary study of the behavioral neuroscience and design combined major involves the Biology, Psychology, and Art + Design departments at Northeastern University.","The interdisciplinary study of the behavioral neuroscience and design combined major involves the departments of biology, psychology, and Art + Design.",6.5,5,8,7.5,5.5,10,10,10,9,10,10,10,10,10,10,0.260423946,0.925578487,0.920766921
16,What disciplines are combined in the computer science and physics combined major?,"The disciplines combined in the computer science and physics combined major are computer science, physics, and mathematics.",simple,"The computer science and physics combined major combines the disciplines of computer science and physics. This interdisciplinary program allows students to study the principles of both fields and explore the ways in which they intersect and complement each other. Students in this major may study topics such as computational physics, quantum computing, and scientific computing. By combining these two disciplines, students gain a unique perspective and skill set that can be applied to a wide range of career opportunities in fields such as research, technology, and engineering.","The computer science and physics combined major combines the disciplines of computer science, physics, and mathematics.","The computer science and physics combined major combines the disciplines of computer science, physics, and mathematics.",8,7,8,9,6,10,10,10,10,10,10,10,10,10,10,0.218954248,0.782013685,0.782013685
17,What are the major CIP codes for the BA Media and Screen Studies and Journalism program?,The major CIP codes for the BA Media and Screen Studies and Journalism program are BA-MSJO.,reasoning,"The major CIP codes for the BA Media and Screen Studies and Journalism program are:

1. Communication and Media Studies - CIP code: 09.0102
2. Journalism - CIP code: 09.0401",The major CIP code for the BA Media and Screen Studies and Journalism program at Northeastern University is 090199.,The major CIP code for the BA Media and Screen Studies and Journalism program at Northeastern University is 090199.,8.5,7,6.5,9,7.5,8,3,4,7.5,6.5,8,4,4,7,6,0.632939322,0.773420479,0.773420479
18,What is the maximum time allowed to complete all degree requirements at Northeastern University?,The maximum time allowed to complete all degree requirements at Northeastern University is seven years from matriculation.,multi-context,The maximum time allowed to complete all degree requirements at Northeastern University is typically 10 years.,"The maximum time allowed to complete all degree requirements at Northeastern University is seven years, unless an extension is granted by the relevant graduate office.",The maximum time allowed to complete all degree requirements at Northeastern University is seven years for both undergraduate and master's degree programs. Students must complete their degree requirements within this time frame to be eligible for graduation.,9,2,5,8,7,10,9.5,8,9,7,10,10,9,9.5,8,0.823721082,0.70952381,0.539736993
19,How many total semester hours are required for the Communication Studies major?,133 total semester hours are required for the Communication Studies major.,simple,"The total semester hours required for the Communication Studies major vary depending on the specific program and institution. However, a typical Communication Studies major may require around 120 semester hours to complete.","For the Communication Studies major, a total of 128 semester hours are required.",The total semester hours required for the Communication Studies major is 133.,5,4,5,6,4,9,2,3,8,9,10,10,10,10,10,0.392890906,0.628787879,0.77294686
